State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,18.45
andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,121.39
andaman-&-nicobar-islands,2018,1,Merchant payments,298,4.53
andaman-&-nicobar-islands,2018,1,Financial Services,33,0.11
andaman-&-nicobar-islands,2018,1,Others,256,1.85
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,23.21
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,245.12
andaman-&-nicobar-islands,2018,2,Merchant payments,603,10.24
andaman-&-nicobar-islands,2018,2,Financial Services,59,1.21
andaman-&-nicobar-islands,2018,2,Others,368,3.6
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,43.44
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,492.71
andaman-&-nicobar-islands,2018,3,Merchant payments,945,16.27
andaman-&-nicobar-islands,2018,3,Financial Services,42,0.01
andaman-&-nicobar-islands,2018,3,Others,194,3.14
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,54.51
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,810.01
andaman-&-nicobar-islands,2018,4,Merchant payments,1421,35.52
andaman-&-nicobar-islands,2018,4,Financial Services,29,0.76
andaman-&-nicobar-islands,2018,4,Others,340,4.68
andaman-&-nicobar-islands,2019,1,Recharge & bill payments,15263,66.11
andaman-&-nicobar-islands,2019,1,Peer-to-peer payments,13119,918.08
andaman-&-nicobar-islands,2019,1,Merchant payments,1759,32.67
andaman-&-nicobar-islands,2019,1,Financial Services,62,1.16
andaman-&-nicobar-islands,2019,1,Others,283,4.97
andaman-&-nicobar-islands,2019,2,Recharge & bill payments,14676,72.42
andaman-&-nicobar-islands,2019,2,Peer-to-peer payments,14481,1075.25
andaman-&-nicobar-islands,2019,2,Merchant payments,4031,47.02
andaman-&-nicobar-islands,2019,2,Financial Services,124,1.13
andaman-&-nicobar-islands,2019,2,Others,377,6.71
andaman-&-nicobar-islands,2019,3,Recharge & bill payments,16219,81.72
andaman-&-nicobar-islands,2019,3,Peer-to-peer payments,13767,1010.8
andaman-&-nicobar-islands,2019,3,Merchant payments,3519,44.29
andaman-&-nicobar-islands,2019,3,Financial Services,50,1.59
andaman-&-nicobar-islands,2019,3,Others,215,2.33
andaman-&-nicobar-islands,2019,4,Peer-to-peer payments,18128,1214.93
andaman-&-nicobar-islands,2019,4,Recharge & bill payments,13851,95.39
andaman-&-nicobar-islands,2019,4,Merchant payments,2920,52.48
andaman-&-nicobar-islands,2019,4,Financial Services,60,2.96
andaman-&-nicobar-islands,2019,4,Others,200,2.63
andaman-&-nicobar-islands,2020,1,Peer-to-peer payments,18324,1423.32
andaman-&-nicobar-islands,2020,1,Recharge & bill payments,18268,108.5
andaman-&-nicobar-islands,2020,1,Merchant payments,4424,77.53
andaman-&-nicobar-islands,2020,1,Financial Services,66,2.08
andaman-&-nicobar-islands,2020,1,Others,216,3.32
andaman-&-nicobar-islands,2020,2,Recharge & bill payments,38125,176.6
andaman-&-nicobar-islands,2020,2,Peer-to-peer payments,20303,1417.29
andaman-&-nicobar-islands,2020,2,Merchant payments,4004,92.36
andaman-&-nicobar-islands,2020,2,Financial Services,175,7.07
andaman-&-nicobar-islands,2020,2,Others,355,3.13
andaman-&-nicobar-islands,2020,3,Recharge & bill payments,59310,247.56
andaman-&-nicobar-islands,2020,3,Peer-to-peer payments,40697,2890.79
andaman-&-nicobar-islands,2020,3,Merchant payments,16096,226.83
andaman-&-nicobar-islands,2020,3,Financial Services,572,9.62
andaman-&-nicobar-islands,2020,3,Others,808,5.39
andaman-&-nicobar-islands,2020,4,Peer-to-peer payments,81439,5333.17
andaman-&-nicobar-islands,2020,4,Recharge & bill payments,80811,337.1
andaman-&-nicobar-islands,2020,4,Merchant payments,59391,568.67
andaman-&-nicobar-islands,2020,4,Financial Services,965,18.81
andaman-&-nicobar-islands,2020,4,Others,1925,15.08
andaman-&-nicobar-islands,2021,1,Peer-to-peer payments,105458,6653.91
andaman-&-nicobar-islands,2021,1,Recharge & bill payments,84119,371.61
andaman-&-nicobar-islands,2021,1,Merchant payments,53090,786.07
andaman-&-nicobar-islands,2021,1,Financial Services,884,14.69
andaman-&-nicobar-islands,2021,1,Others,1201,10.78
andaman-&-nicobar-islands,2021,2,Peer-to-peer payments,132772,7483.82
andaman-&-nicobar-islands,2021,2,Recharge & bill payments,120911,436.92
andaman-&-nicobar-islands,2021,2,Merchant payments,85143,1037.07
andaman-&-nicobar-islands,2021,2,Financial Services,960,20.39
andaman-&-nicobar-islands,2021,2,Others,1628,13.27
andaman-&-nicobar-islands,2021,3,Peer-to-peer payments,192321,10777.88
andaman-&-nicobar-islands,2021,3,Recharge & bill payments,136010,512.43
andaman-&-nicobar-islands,2021,3,Merchant payments,118340,1769.91
andaman-&-nicobar-islands,2021,3,Financial Services,990,23.51
andaman-&-nicobar-islands,2021,3,Others,2103,16.51
andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,285778,15449.33
andaman-&-nicobar-islands,2021,4,Merchant payments,210164,3228.42
andaman-&-nicobar-islands,2021,4,Recharge & bill payments,135608,592.44
andaman-&-nicobar-islands,2021,4,Financial Services,1718,31.38
andaman-&-nicobar-islands,2021,4,Others,2855,24.54
andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,342649,16823.29
andaman-&-nicobar-islands,2022,1,Merchant payments,284298,3700.92
andaman-&-nicobar-islands,2022,1,Recharge & bill payments,163401,713.0
andaman-&-nicobar-islands,2022,1,Financial Services,1757,28.7
andaman-&-nicobar-islands,2022,1,Others,2643,24.4
andaman-&-nicobar-islands,2022,2,Merchant payments,449540,5108.39
andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,437606,20883.09
andaman-&-nicobar-islands,2022,2,Recharge & bill payments,179515,822.33
andaman-&-nicobar-islands,2022,2,Financial Services,1448,20.9
andaman-&-nicobar-islands,2022,2,Others,3108,24.49
andaman-&-nicobar-islands,2022,3,Merchant payments,716105,6934.38
andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,622217,25145.35
andaman-&-nicobar-islands,2022,3,Recharge & bill payments,240766,977.48
andaman-&-nicobar-islands,2022,3,Financial Services,1814,21.66
andaman-&-nicobar-islands,2022,3,Others,3477,27.44
andaman-&-nicobar-islands,2022,4,Merchant payments,956536,9063.65
andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,768758,29616.31
andaman-&-nicobar-islands,2022,4,Recharge & bill payments,256050,1100.37
andaman-&-nicobar-islands,2022,4,Financial Services,2499,35.34
andaman-&-nicobar-islands,2022,4,Others,3692,31.07
andaman-&-nicobar-islands,2023,1,Merchant payments,1122063,10088.22
andaman-&-nicobar-islands,2023,1,Peer-to-peer payments,862347,32997.62
andaman-&-nicobar-islands,2023,1,Recharge & bill payments,286024,1463.38
andaman-&-nicobar-islands,2023,1,Financial Services,2515,35.57
andaman-&-nicobar-islands,2023,1,Others,3443,30.49
andaman-&-nicobar-islands,2023,2,Merchant payments,1410653,11599.05
andaman-&-nicobar-islands,2023,2,Peer-to-peer payments,970525,36644.16
andaman-&-nicobar-islands,2023,2,Recharge & bill payments,320922,1584.56
andaman-&-nicobar-islands,2023,2,Financial Services,2158,41.62
andaman-&-nicobar-islands,2023,2,Others,3517,34.05
andaman-&-nicobar-islands,2023,3,Merchant payments,1657848,12897.8
andaman-&-nicobar-islands,2023,3,Peer-to-peer payments,1111211,37576.27
andaman-&-nicobar-islands,2023,3,Recharge & bill payments,323935,1579.92
andaman-&-nicobar-islands,2023,3,Financial Services,2199,38.5
andaman-&-nicobar-islands,2023,3,Others,3183,23.47
andaman-&-nicobar-islands,2023,4,Merchant payments,2039888,16533.03
andaman-&-nicobar-islands,2023,4,Peer-to-peer payments,1321796,44204.59
andaman-&-nicobar-islands,2023,4,Recharge & bill payments,327460,1850.28
andaman-&-nicobar-islands,2023,4,Financial Services,3276,78.36
andaman-&-nicobar-islands,2023,4,Others,3363,29.25
andaman-&-nicobar-islands,2024,1,Merchant payments,2401038,18878.12
andaman-&-nicobar-islands,2024,1,Peer-to-peer payments,1436380,47718.87
andaman-&-nicobar-islands,2024,1,Recharge & bill payments,341224,1889.39
andaman-&-nicobar-islands,2024,1,Financial Services,3761,79.63
andaman-&-nicobar-islands,2024,1,Others,2517,25.51
andaman-&-nicobar-islands,2024,2,Merchant payments,2769052,20532.69
andaman-&-nicobar-islands,2024,2,Peer-to-peer payments,1513157,50337.12
andaman-&-nicobar-islands,2024,2,Recharge & bill payments,365214,1969.88
andaman-&-nicobar-islands,2024,2,Financial Services,3371,95.51
andaman-&-nicobar-islands,2024,2,Others,2430,22.61
andhra-pradesh,2018,1,Recharge & bill payments,5027448,8922.94
andhra-pradesh,2018,1,Peer-to-peer payments,3049646,105242.5
andhra-pradesh,2018,1,Merchant payments,362672,2472.98
andhra-pradesh,2018,1,Financial Services,204305,448.08
andhra-pradesh,2018,1,Others,395514,2876.26
andhra-pradesh,2018,2,Recharge & bill payments,6456387,15985.91
andhra-pradesh,2018,2,Peer-to-peer payments,4745000,204514.93
andhra-pradesh,2018,2,Merchant payments,604847,4367.85
andhra-pradesh,2018,2,Financial Services,225621,689.52
andhra-pradesh,2018,2,Others,322063,3280.92
andhra-pradesh,2018,3,Peer-to-peer payments,16129591,327386.3
andhra-pradesh,2018,3,Recharge & bill payments,7542005,19490.98
andhra-pradesh,2018,3,Merchant payments,1225416,6852.77
andhra-pradesh,2018,3,Financial Services,380324,607.9
andhra-pradesh,2018,3,Others,348725,2842.49
andhra-pradesh,2018,4,Peer-to-peer payments,17580086,470116.4
andhra-pradesh,2018,4,Recharge & bill payments,9767083,24181.64
andhra-pradesh,2018,4,Merchant payments,2622131,16715.86
andhra-pradesh,2018,4,Financial Services,400837,571.78
andhra-pradesh,2018,4,Others,389411,3152.11
andhra-pradesh,2019,1,Peer-to-peer payments,37420988,775243.3
andhra-pradesh,2019,1,Recharge & bill payments,14022264,34806.42
andhra-pradesh,2019,1,Merchant payments,5043682,24235.37
andhra-pradesh,2019,1,Financial Services,416325,471.5
andhra-pradesh,2019,1,Others,361263,2849.38
andhra-pradesh,2019,2,Peer-to-peer payments,32494402,1039246.49
andhra-pradesh,2019,2,Recharge & bill payments,14093964,47083.45
andhra-pradesh,2019,2,Merchant payments,9226537,46134.05
andhra-pradesh,2019,2,Financial Services,145310,266.27
andhra-pradesh,2019,2,Others,448802,3614.92
andhra-pradesh,2019,3,Peer-to-peer payments,39023491,1243386.45
andhra-pradesh,2019,3,Recharge & bill payments,20147629,68939.85
andhra-pradesh,2019,3,Merchant payments,16581787,78873.94
andhra-pradesh,2019,3,Financial Services,122270,297.78
andhra-pradesh,2019,3,Others,413437,2981.42
andhra-pradesh,2019,4,Peer-to-peer payments,57181511,1788935.5
andhra-pradesh,2019,4,Merchant payments,25122370,134763.03
andhra-pradesh,2019,4,Recharge & bill payments,24469888,83351.69
andhra-pradesh,2019,4,Financial Services,105662,267.97
andhra-pradesh,2019,4,Others,338672,2164.97
andhra-pradesh,2020,1,Peer-to-peer payments,65452143,2230885.54
andhra-pradesh,2020,1,Merchant payments,31408022,186031.62
andhra-pradesh,2020,1,Recharge & bill payments,30449644,108135.31
andhra-pradesh,2020,1,Financial Services,75238,437.39
andhra-pradesh,2020,1,Others,292310,1882.29
andhra-pradesh,2020,2,Peer-to-peer payments,73609921,2627317.24
andhra-pradesh,2020,2,Recharge & bill payments,41013987,169910.06
andhra-pradesh,2020,2,Merchant payments,29976765,226255.97
andhra-pradesh,2020,2,Financial Services,140941,1452.75
andhra-pradesh,2020,2,Others,176241,900.88
andhra-pradesh,2020,3,Peer-to-peer payments,106791894,4064617.88
andhra-pradesh,2020,3,Merchant payments,54055557,407395.8
andhra-pradesh,2020,3,Recharge & bill payments,43500067,194751.05
andhra-pradesh,2020,3,Financial Services,243088,2560.75
andhra-pradesh,2020,3,Others,312329,1515.83
andhra-pradesh,2020,4,Peer-to-peer payments,152003791,5666391.39
andhra-pradesh,2020,4,Merchant payments,86581460,666540.48
andhra-pradesh,2020,4,Recharge & bill payments,46810304,209363.37
andhra-pradesh,2020,4,Financial Services,265470,3051.69
andhra-pradesh,2020,4,Others,457527,3068.53
andhra-pradesh,2021,1,Peer-to-peer payments,149313738,5805421.93
andhra-pradesh,2021,1,Merchant payments,97920281,708131.93
andhra-pradesh,2021,1,Recharge & bill payments,41940689,205464.25
andhra-pradesh,2021,1,Financial Services,225355,2703.13
andhra-pradesh,2021,1,Others,347907,2725.46
andhra-pradesh,2021,2,Peer-to-peer payments,189614879,7370044.84
andhra-pradesh,2021,2,Merchant payments,112875274,885124.29
andhra-pradesh,2021,2,Recharge & bill payments,49626902,246468.0
andhra-pradesh,2021,2,Financial Services,243237,2654.83
andhra-pradesh,2021,2,Others,406842,3083.02
andhra-pradesh,2021,3,Peer-to-peer payments,221280317,8378411.25
andhra-pradesh,2021,3,Merchant payments,158290953,1181643.78
