State,Year,Quarter,Brands,Count,Percentage
andaman-&-nicobar-islands,2018,1,Xiaomi,1665,25.0
andaman-&-nicobar-islands,2018,1,Samsung,1445,21.0
andaman-&-nicobar-islands,2018,1,Vivo,982,15.0
andaman-&-nicobar-islands,2018,1,Oppo,501,7.0
andaman-&-nicobar-islands,2018,1,OnePlus,332,5.0
andaman-&-nicobar-islands,2018,1,Realme,316,5.0
andaman-&-nicobar-islands,2018,1,Apple,229,3.0
andaman-&-nicobar-islands,2018,1,Motorola,226,3.0
andaman-&-nicobar-islands,2018,1,Lenovo,202,3.0
andaman-&-nicobar-islands,2018,1,Huawei,158,2.0
andaman-&-nicobar-islands,2018,1,Others,684,10.0
andaman-&-nicobar-islands,2018,2,Xiaomi,2303,24.0
andaman-&-nicobar-islands,2018,2,Samsung,1923,20.0
andaman-&-nicobar-islands,2018,2,Vivo,1523,16.0
andaman-&-nicobar-islands,2018,2,Oppo,708,8.0
andaman-&-nicobar-islands,2018,2,OnePlus,466,5.0
andaman-&-nicobar-islands,2018,2,Realme,465,5.0
andaman-&-nicobar-islands,2018,2,Motorola,319,3.0
andaman-&-nicobar-islands,2018,2,Apple,308,3.0
andaman-&-nicobar-islands,2018,2,Lenovo,244,3.0
andaman-&-nicobar-islands,2018,2,Huawei,230,2.0
andaman-&-nicobar-islands,2018,2,Others,916,10.0
andaman-&-nicobar-islands,2018,3,Xiaomi,2950,24.0
andaman-&-nicobar-islands,2018,3,Samsung,2409,20.0
andaman-&-nicobar-islands,2018,3,Vivo,2063,17.0
andaman-&-nicobar-islands,2018,3,Oppo,988,8.0
andaman-&-nicobar-islands,2018,3,OnePlus,617,5.0
andaman-&-nicobar-islands,2018,3,Realme,603,5.0
andaman-&-nicobar-islands,2018,3,Motorola,390,3.0
andaman-&-nicobar-islands,2018,3,Apple,371,3.0
andaman-&-nicobar-islands,2018,3,Huawei,314,3.0
andaman-&-nicobar-islands,2018,3,Lenovo,299,2.0
andaman-&-nicobar-islands,2018,3,Others,1145,9.0
andaman-&-nicobar-islands,2018,4,Xiaomi,3719,24.0
andaman-&-nicobar-islands,2018,4,Samsung,2936,19.0
andaman-&-nicobar-islands,2018,4,Vivo,2742,18.0
andaman-&-nicobar-islands,2018,4,Oppo,1268,8.0
andaman-&-nicobar-islands,2018,4,Realme,760,5.0
andaman-&-nicobar-islands,2018,4,OnePlus,721,5.0
andaman-&-nicobar-islands,2018,4,Motorola,474,3.0
andaman-&-nicobar-islands,2018,4,Apple,455,3.0
andaman-&-nicobar-islands,2018,4,Huawei,398,3.0
andaman-&-nicobar-islands,2018,4,Lenovo,377,2.0
andaman-&-nicobar-islands,2018,4,Others,1372,9.0
andaman-&-nicobar-islands,2019,1,Xiaomi,4576,25.0
