State,Year,Quarter,District,Count,Amount
andaman-&-nicobar-islands,2018,1,north and middle andaman district,442,9.32
andaman-&-nicobar-islands,2018,1,south andaman district,5688,125.6
andaman-&-nicobar-islands,2018,1,nicobars district,528,11.4
andaman-&-nicobar-islands,2018,2,north and middle andaman district,825,13.18
andaman-&-nicobar-islands,2018,2,south andaman district,9395,239.48
andaman-&-nicobar-islands,2018,2,nicobars district,1120,30.72
andaman-&-nicobar-islands,2018,3,north and middle andaman district,1283,49.02
andaman-&-nicobar-islands,2018,3,south andaman district,13511,442.68
andaman-&-nicobar-islands,2018,3,nicobars district,1471,63.88
andaman-&-nicobar-islands,2018,4,north and middle andaman district,2137,79.56
andaman-&-nicobar-islands,2018,4,south andaman district,20136,754.12
andaman-&-nicobar-islands,2018,4,nicobars district,1485,71.81
andaman-&-nicobar-islands,2019,1,north and middle andaman district,3264,95.62
andaman-&-nicobar-islands,2019,1,south andaman district,25683,855.02
andaman-&-nicobar-islands,2019,1,nicobars district,1539,72.36
andaman-&-nicobar-islands,2019,2,north and middle andaman district,3371,86.12
andaman-&-nicobar-islands,2019,2,south andaman district,28490,1025.31
andaman-&-nicobar-islands,2019,2,nicobars district,1828,91.12
andaman-&-nicobar-islands,2019,3,north and middle andaman district,4049,114.81
andaman-&-nicobar-islands,2019,3,south andaman district,27421,910.24
andaman-&-nicobar-islands,2019,3,nicobars district,2300,115.66
andaman-&-nicobar-islands,2019,4,north and middle andaman district,4716,135.24
andaman-&-nicobar-islands,2019,4,south andaman district,27843,1109.3
andaman-&-nicobar-islands,2019,4,nicobars district,2600,123.84
andaman-&-nicobar-islands,2020,1,north and middle andaman district,5674,146.97
andaman-&-nicobar-islands,2020,1,south andaman district,32713,1346.79
andaman-&-nicobar-islands,2020,1,nicobars district,2911,121.0
andaman-&-nicobar-islands,2020,2,north and middle andaman district,10979,224.48
andaman-&-nicobar-islands,2020,2,south andaman district,48088,1328.56
andaman-&-nicobar-islands,2020,2,nicobars district,3895,143.42
andaman-&-nicobar-islands,2020,3,north and middle andaman district,16747,334.87
andaman-&-nicobar-islands,2020,3,south andaman district,95323,2823.66
andaman-&-nicobar-islands,2020,3,nicobars district,5413,221.66
andaman-&-nicobar-islands,2020,4,north and middle andaman district,29349,689.41
andaman-&-nicobar-islands,2020,4,south andaman district,186494,5231.22
andaman-&-nicobar-islands,2020,4,nicobars district,8688,352.19
andaman-&-nicobar-islands,2021,1,north and middle andaman district,27358,750.27
andaman-&-nicobar-islands,2021,1,south andaman district,207092,6696.04
andaman-&-nicobar-islands,2021,1,nicobars district,10302,390.75
andaman-&-nicobar-islands,2021,2,north and middle andaman district,39200,902.33
andaman-&-nicobar-islands,2021,2,south andaman district,286907,7608.93
andaman-&-nicobar-islands,2021,2,nicobars district,15307,480.21
andaman-&-nicobar-islands,2021,3,north and middle andaman district,46592,1182.55
andaman-&-nicobar-islands,2021,3,south andaman district,382418,11167.89
andaman-&-nicobar-islands,2021,3,nicobars district,20754,749.81
andaman-&-nicobar-islands,2021,4,north and middle andaman district,53115,1564.86
andaman-&-nicobar-islands,2021,4,south andaman district,558571,16947.95
andaman-&-nicobar-islands,2021,4,nicobars district,24437,813.29
andaman-&-nicobar-islands,2022,1,north and middle andaman district,60059,1616.25
andaman-&-nicobar-islands,2022,1,south andaman district,705512,18729.91
andaman-&-nicobar-islands,2022,1,nicobars district,29177,944.14
andaman-&-nicobar-islands,2022,2,north and middle andaman district,72573,1956.93
andaman-&-nicobar-islands,2022,2,south andaman district,954875,23573.27
andaman-&-nicobar-islands,2022,2,nicobars district,43769,1329.01
andaman-&-nicobar-islands,2022,3,north and middle andaman district,79574,2115.82
andaman-&-nicobar-islands,2022,3,south andaman district,1455255,29677.19
andaman-&-nicobar-islands,2022,3,nicobars district,49550,1313.3
andaman-&-nicobar-islands,2022,4,north and middle andaman district,93297,2414.31
andaman-&-nicobar-islands,2022,4,south andaman district,1835592,36008.87
andaman-&-nicobar-islands,2022,4,nicobars district,58646,1423.56
andaman-&-nicobar-islands,2023,1,north and middle andaman district,152187,3920.8
andaman-&-nicobar-islands,2023,1,south andaman district,2030078,38673.85
andaman-&-nicobar-islands,2023,1,nicobars district,94127,2020.63
