State,Year,Quarter,Districts,Transaction_count,Transaction_amount
andaman-&-nicobar-islands,2018,1,south andaman,5688,125.6
andaman-&-nicobar-islands,2018,1,nicobars,528,11.4
andaman-&-nicobar-islands,2018,1,north and middle andaman,442,9.32
andaman-&-nicobar-islands,2018,2,south andaman,9395,239.48
andaman-&-nicobar-islands,2018,2,nicobars,1120,30.72
andaman-&-nicobar-islands,2018,2,north and middle andaman,825,13.18
andaman-&-nicobar-islands,2018,3,south andaman,13511,442.68
andaman-&-nicobar-islands,2018,3,nicobars,1471,63.88
andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,49.02
andaman-&-nicobar-islands,2018,4,south andaman,20136,754.12
andaman-&-nicobar-islands,2018,4,north and middle andaman,2137,79.56
andaman-&-nicobar-islands,2018,4,nicobars,1485,71.81
andaman-&-nicobar-islands,2019,1,south andaman,25683,855.02
andaman-&-nicobar-islands,2019,1,north and middle andaman,3264,95.62
andaman-&-nicobar-islands,2019,1,nicobars,1539,72.36
andaman-&-nicobar-islands,2019,2,south andaman,28490,1025.31
andaman-&-nicobar-islands,2019,2,north and middle andaman,3371,86.12
andaman-&-nicobar-islands,2019,2,nicobars,1828,91.12
andaman-&-nicobar-islands,2019,3,south andaman,27421,910.24
andaman-&-nicobar-islands,2019,3,north and middle andaman,4049,114.81
andaman-&-nicobar-islands,2019,3,nicobars,2300,115.66
andaman-&-nicobar-islands,2019,4,south andaman,27843,1109.3
andaman-&-nicobar-islands,2019,4,north and middle andaman,4716,135.24
andaman-&-nicobar-islands,2019,4,nicobars,2600,123.84
andaman-&-nicobar-islands,2020,1,south andaman,32713,1346.79
andaman-&-nicobar-islands,2020,1,north and middle andaman,5674,146.97
andaman-&-nicobar-islands,2020,1,nicobars,2911,121.0
andaman-&-nicobar-islands,2020,2,south andaman,48088,1328.56
andaman-&-nicobar-islands,2020,2,north and middle andaman,10979,224.48
andaman-&-nicobar-islands,2020,2,nicobars,3895,143.42
andaman-&-nicobar-islands,2020,3,south andaman,95323,2823.66
andaman-&-nicobar-islands,2020,3,north and middle andaman,16747,334.87
andaman-&-nicobar-islands,2020,3,nicobars,5413,221.66
andaman-&-nicobar-islands,2020,4,south andaman,186494,5231.22
andaman-&-nicobar-islands,2020,4,north and middle andaman,29349,689.41
andaman-&-nicobar-islands,2020,4,nicobars,8688,352.19
andaman-&-nicobar-islands,2021,1,south andaman,207092,6696.04
andaman-&-nicobar-islands,2021,1,north and middle andaman,27358,750.27
andaman-&-nicobar-islands,2021,1,nicobars,10302,390.75
andaman-&-nicobar-islands,2021,2,south andaman,286907,7608.93
andaman-&-nicobar-islands,2021,2,north and middle andaman,39200,902.33
andaman-&-nicobar-islands,2021,2,nicobars,15307,480.21
andaman-&-nicobar-islands,2021,3,south andaman,382418,11167.89
andaman-&-nicobar-islands,2021,3,north and middle andaman,46592,1182.55
andaman-&-nicobar-islands,2021,3,nicobars,20754,749.81
andaman-&-nicobar-islands,2021,4,south andaman,558571,16947.95
andaman-&-nicobar-islands,2021,4,north and middle andaman,53115,1564.86
andaman-&-nicobar-islands,2021,4,nicobars,24437,813.29
