State,Year,Quarter,Pincode,Transaction_count,Transaction_amount
andaman-&-nicobar-islands,2018,1,744101,1622,27.69
andaman-&-nicobar-islands,2018,1,744103,1223,22.38
andaman-&-nicobar-islands,2018,1,744102,969,35.19
andaman-&-nicobar-islands,2018,1,744105,685,12.99
andaman-&-nicobar-islands,2018,1,744104,340,10.4
andaman-&-nicobar-islands,2018,1,744107,302,5.56
andaman-&-nicobar-islands,2018,1,744301,283,4.46
andaman-&-nicobar-islands,2018,1,744112,269,3.34
andaman-&-nicobar-islands,2018,1,744202,193,2.39
andaman-&-nicobar-islands,2018,1,744302,168,5.47
andaman-&-nicobar-islands,2018,2,744101,2701,63.1
andaman-&-nicobar-islands,2018,2,744103,1965,47.52
andaman-&-nicobar-islands,2018,2,744102,1525,58.1
andaman-&-nicobar-islands,2018,2,744105,997,22.0
andaman-&-nicobar-islands,2018,2,744301,767,19.54
andaman-&-nicobar-islands,2018,2,744104,659,16.5
andaman-&-nicobar-islands,2018,2,744107,594,16.02
andaman-&-nicobar-islands,2018,2,744112,432,5.79
andaman-&-nicobar-islands,2018,2,744202,405,6.27
andaman-&-nicobar-islands,2018,2,744302,291,10.27
andaman-&-nicobar-islands,2018,3,744101,3462,108.34
andaman-&-nicobar-islands,2018,3,744103,3182,101.84
andaman-&-nicobar-islands,2018,3,744102,2224,103.65
andaman-&-nicobar-islands,2018,3,744105,1613,51.53
andaman-&-nicobar-islands,2018,3,744104,1029,25.88
andaman-&-nicobar-islands,2018,3,744301,975,42.57
andaman-&-nicobar-islands,2018,3,744112,579,11.46
andaman-&-nicobar-islands,2018,3,744107,547,14.92
andaman-&-nicobar-islands,2018,3,744302,417,19.77
andaman-&-nicobar-islands,2018,3,744202,341,20.99
andaman-&-nicobar-islands,2018,4,744101,4674,163.93
andaman-&-nicobar-islands,2018,4,744103,4576,170.23
andaman-&-nicobar-islands,2018,4,744102,3306,170.2
andaman-&-nicobar-islands,2018,4,744105,2513,99.35
andaman-&-nicobar-islands,2018,4,744104,1432,60.92
andaman-&-nicobar-islands,2018,4,744211,1225,34.51
andaman-&-nicobar-islands,2018,4,744301,928,46.06
andaman-&-nicobar-islands,2018,4,744112,759,22.09
andaman-&-nicobar-islands,2018,4,744107,747,18.26
andaman-&-nicobar-islands,2018,4,744202,702,37.97
andaman-&-nicobar-islands,2019,1,744103,5742,194.02
andaman-&-nicobar-islands,2019,1,744101,5156,155.01
andaman-&-nicobar-islands,2019,1,744102,3925,166.84
andaman-&-nicobar-islands,2019,1,744105,3553,115.89
andaman-&-nicobar-islands,2019,1,744104,2833,91.42
andaman-&-nicobar-islands,2019,1,744211,1511,57.95
andaman-&-nicobar-islands,2019,1,744202,1112,36.13
andaman-&-nicobar-islands,2019,1,744107,1029,35.93
andaman-&-nicobar-islands,2019,1,744301,920,46.53
andaman-&-nicobar-islands,2019,1,744112,802,18.94
andaman-&-nicobar-islands,2019,2,744104,6142,156.26
andaman-&-nicobar-islands,2019,2,744103,5847,237.51
andaman-&-nicobar-islands,2019,2,744101,4863,190.61
andaman-&-nicobar-islands,2019,2,744102,4120,189.49
andaman-&-nicobar-islands,2019,2,744105,3500,134.19
andaman-&-nicobar-islands,2019,2,744202,1153,36.2
andaman-&-nicobar-islands,2019,2,744107,1124,29.67
andaman-&-nicobar-islands,2019,2,744211,1047,31.68
andaman-&-nicobar-islands,2019,2,744301,1007,48.49
andaman-&-nicobar-islands,2019,2,744112,763,29.28
andaman-&-nicobar-islands,2019,3,744103,5680,199.06
andaman-&-nicobar-islands,2019,3,744101,5606,187.45
andaman-&-nicobar-islands,2019,3,744104,4786,157.55
andaman-&-nicobar-islands,2019,3,744102,3643,145.73
andaman-&-nicobar-islands,2019,3,744105,3512,117.67
andaman-&-nicobar-islands,2019,3,744202,1417,38.76
andaman-&-nicobar-islands,2019,3,744301,1402,61.95
andaman-&-nicobar-islands,2019,3,744211,1118,29.84
andaman-&-nicobar-islands,2019,3,744107,914,19.88
andaman-&-nicobar-islands,2019,3,744112,833,21.99
andaman-&-nicobar-islands,2019,4,744104,6633,206.27
andaman-&-nicobar-islands,2019,4,744101,5282,232.48
andaman-&-nicobar-islands,2019,4,744103,4840,197.93
andaman-&-nicobar-islands,2019,4,744105,3528,153.02
andaman-&-nicobar-islands,2019,4,744102,3237,153.5
andaman-&-nicobar-islands,2019,4,744202,1783,58.0
andaman-&-nicobar-islands,2019,4,744211,1596,79.08
andaman-&-nicobar-islands,2019,4,744301,1549,70.56
andaman-&-nicobar-islands,2019,4,744201,886,9.47
andaman-&-nicobar-islands,2019,4,744107,777,30.3
andaman-&-nicobar-islands,2020,1,744101,11793,582.29
andaman-&-nicobar-islands,2020,1,744103,5870,220.09
andaman-&-nicobar-islands,2020,1,744105,4635,167.74
andaman-&-nicobar-islands,2020,1,744102,3820,145.18
andaman-&-nicobar-islands,2020,1,744211,1837,84.25
andaman-&-nicobar-islands,2020,1,744301,1819,69.01
andaman-&-nicobar-islands,2020,1,744202,1794,50.38
andaman-&-nicobar-islands,2020,1,744104,1302,52.93
andaman-&-nicobar-islands,2020,1,744201,1157,12.43
andaman-&-nicobar-islands,2020,1,744107,1043,29.9
andaman-&-nicobar-islands,2020,2,744101,11868,482.93
andaman-&-nicobar-islands,2020,2,744103,10035,261.98
andaman-&-nicobar-islands,2020,2,744105,9341,232.03
andaman-&-nicobar-islands,2020,2,744102,6012,177.87
andaman-&-nicobar-islands,2020,2,744202,3722,89.24
andaman-&-nicobar-islands,2020,2,744107,2555,39.8
andaman-&-nicobar-islands,2020,2,744301,2275,90.55
andaman-&-nicobar-islands,2020,2,744211,2045,33.2
andaman-&-nicobar-islands,2020,2,744205,1847,44.59
andaman-&-nicobar-islands,2020,2,744104,1840,33.35
andaman-&-nicobar-islands,2020,3,744101,24386,1004.39
andaman-&-nicobar-islands,2020,3,744103,21272,603.32
andaman-&-nicobar-islands,2020,3,744105,17166,440.62
andaman-&-nicobar-islands,2020,3,744102,13934,430.77
andaman-&-nicobar-islands,2020,3,744202,5779,119.76
andaman-&-nicobar-islands,2020,3,744107,4753,76.28
andaman-&-nicobar-islands,2020,3,744104,3468,73.54
andaman-&-nicobar-islands,2020,3,744112,3422,60.68
andaman-&-nicobar-islands,2020,3,744301,3071,133.53
andaman-&-nicobar-islands,2020,3,744205,2991,75.36
andaman-&-nicobar-islands,2020,4,744103,46884,1382.65
andaman-&-nicobar-islands,2020,4,744101,40392,1364.01
andaman-&-nicobar-islands,2020,4,744105,34410,878.38
andaman-&-nicobar-islands,2020,4,744102,26694,763.49
andaman-&-nicobar-islands,2020,4,744202,10949,255.44
andaman-&-nicobar-islands,2020,4,744107,9743,180.83
andaman-&-nicobar-islands,2020,4,744104,7654,191.26
andaman-&-nicobar-islands,2020,4,744112,7016,158.9
andaman-&-nicobar-islands,2020,4,744205,5118,120.03
andaman-&-nicobar-islands,2020,4,744201,5011,67.77
andaman-&-nicobar-islands,2021,1,744101,55726,1908.31
andaman-&-nicobar-islands,2021,1,744103,47328,1584.04
andaman-&-nicobar-islands,2021,1,744105,35467,1115.72
andaman-&-nicobar-islands,2021,1,744102,23957,807.5
andaman-&-nicobar-islands,2021,1,744211,10648,349.56
andaman-&-nicobar-islands,2021,1,744202,10597,281.28
andaman-&-nicobar-islands,2021,1,744107,8848,196.28
andaman-&-nicobar-islands,2021,1,744104,8799,278.54
andaman-&-nicobar-islands,2021,1,744112,7113,210.85
andaman-&-nicobar-islands,2021,1,744301,5630,226.72
andaman-&-nicobar-islands,2021,2,744101,73334,2275.85
andaman-&-nicobar-islands,2021,2,744103,66321,1747.53
andaman-&-nicobar-islands,2021,2,744105,52645,1348.36
andaman-&-nicobar-islands,2021,2,744102,34289,1008.9
andaman-&-nicobar-islands,2021,2,744202,16476,406.48
andaman-&-nicobar-islands,2021,2,744107,14524,246.91
andaman-&-nicobar-islands,2021,2,744104,11278,283.34
andaman-&-nicobar-islands,2021,2,744211,10182,203.78
andaman-&-nicobar-islands,2021,2,744112,9635,216.38
andaman-&-nicobar-islands,2021,2,744301,8463,276.67
andaman-&-nicobar-islands,2021,3,744101,116324,3883.28
andaman-&-nicobar-islands,2021,3,744103,84790,2464.33
andaman-&-nicobar-islands,2021,3,744105,67257,1852.38
andaman-&-nicobar-islands,2021,3,744102,43850,1312.4
andaman-&-nicobar-islands,2021,3,744202,19088,484.75
andaman-&-nicobar-islands,2021,3,744107,16203,379.62
andaman-&-nicobar-islands,2021,3,744104,14657,353.01
andaman-&-nicobar-islands,2021,3,744112,11565,284.92
andaman-&-nicobar-islands,2021,3,744301,11553,434.65
andaman-&-nicobar-islands,2021,3,744211,9655,194.98
andaman-&-nicobar-islands,2021,4,744101,165719,5330.26
andaman-&-nicobar-islands,2021,4,744103,121613,3722.44
andaman-&-nicobar-islands,2021,4,744105,95028,2812.23
